bid_min,bid_max,wait_min,ask_lo,ask_hi,n_train,train_edge,train_dpd
0.7,0.75,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.8,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.85,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.8,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.85,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.8,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.85,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.85,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.75,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.75,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.8,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.75,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.6,0.8,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.75,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.8,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.8,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.75,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.8,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.75,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.75,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.85,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.85,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.85,1,0.55,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.8,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.7,0.75,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.75,1,0.65,0.8,194,1.6737216494845355,1.3915799999999994
0.6,0.85,1,0.55,0.8,194,1.6737216494845355,1.3915799999999994
0.6,0.85,1,0.6,0.8,194,1.6737216494845355,1.3915799999999994
